Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   ND17   ND18   ND19   ND20   Egz    
Denisas             Kavaliauskas        7      5      7      5      6      1      8      4      2      7      4      4      1      6      2      1      9      3      5      5      2      
Kristijonas         Butkus              1      9      6      2      5      1      4      5      6      1      6      8      1      7      4      8      5      5      7      7      3      
Gedminas            Urbonas             9      6      9      3      7      6      10     10     3      3      9      4      7      8      2      3      1      1      4      3      10     
Serafinas           Urbonas             9      4      3      8      8      4      4      1      7      4      7      3      2      10     10     5      9      6      8      4      7      
Joanas              Sakalauskas         9      2      4      7      3      7      3      1      7      4      10     9      7      8      3      2      7      4      8      7      7      
Silvestras          Pocius              9      4      7      10     9      2      1      1      4      3      9      7      8      5      7      9      9      1      9      1      8      
Boleslavas          Jankauskas          6      1      1      3      2      6      8      10     7      3      10     1      5      9      3      7      8      2      8      9      5      
Timuras             Petrauskas          10     8      3      7      10     8      6      4      9      10     6      6      4      4      7      8      5      7      10     4      1      
Valentinas          Paulauskas          10     1      1      7      1      3      4      5      4      3      2      4      5      2      8      5      4      3      9      3      8      
Denis               Urbonas             6      5      7      1      2      2      6      3      4      4      4      9      2      3      3      1      2      8      1      5      1      
Patrikas            Vasiliauskas        2      3      3      10     2      10     9      7      4      5      3      10     7      7      1      1      2      9      8      6      6      
Isakas              Stankevicius        2      4      4      9      6      6      7      2      6      6      1      9      10     3      10     8      5      10     7      9      3      
Eduardas            Stankevicius        3      4      2      7      8      8      5      8      3      2      5      9      1      1      3      1      5      8      4      10     5      
Domas               Pocius              2      3      5      8      9      7      5      3      9      1      9      1      6      10     6      5      9      5      4      8      7      
Dangerutis          Baranauskas         8      9      2      4      3      7      2      1      2      10     2      8      9      6      7      1      2      1      10     5      10     
Gaudenis            Pocius              6      6      2      6      7      10     7      4      8      8      6      7      1      4      9      7      5      2      4      3      10     
Boguslavas          Stankevicius        2      3      5      4      3      2      9      8      10     7      4      9      10     8      5      9      8      2      1      7      2      
Teodoras            Sakalauskas         7      9      1      5      3      2      7      9      10     8      2      1      10     9      1      7      5      3      9      1      7      
Rutenis             Vasiliauskas        1      7      2      3      1      7      9      1      5      2      10     1      9      8      9      9      3      4      2      3      8      
Miglius             Baranauskas         8      9      1      9      7      8      2      1      1      8      5      3      2      4      5      9      3      7      9      4      4      
Orestas             Vasiliauskas        8      7      5      6      1      5      8      3      4      5      2      3      5      6      4      1      5      7      9      2      4      
Edvinas             Butkus              1      7      9      7      2      4      6      6      5      7      4      3      5      2      5      3      2      2      5      2      6      
Virgintas           Butkus              3      6      4      6      3      8      6      5      7      7      9      10     4      2      9      4      8      5      6      4      9      
Kleopas             Kavaliauskas        4      1      4      7      4      10     2      6      8      2      9      3      7      3      9      1      3      6      1      4      7      
Rimas               Urbonas             8      4      3      5      7      7      6      9      1      6      4      6      3      2      2      7      1      10     9      9      5      
Germanas            Stankevicius        5      6      9      3      3      4      9      10     5      2      9      2      9      3      6      6      6      6      4      1      5      
Silvijus            Sakalauskas         9      1      8      8      8      10     5      4      8      2      9      3      4      3      1      8      3      1      1      2      9      
Arsenas             Stankevicius        8      9      7      5      4      7      10     2      8      4      8      9      10     6      10     8      10     2      8      4      1      
Foma                Baranauskas         3      10     3      4      4      5      1      8      4      8      1      4      6      2      4      5      4      4      3      5      8      
Danius              Butkus              6      3      7      6      4      7      2      10     3      4      8      8      5      5      8      4      8      2      3      2      5      
Anupras             Pocius              3      4      2      8      1      10     2      7      10     1      1      2      1      2      6      5      10     6      8      4      2      
Skaistis            Baranauskas         5      5      9      1      9      3      6      8      7      8      10     8      1      8      6      7      10     2      1      1      1      
Edgaras             Jankauskas          4      8      3      7      7      4      10     9      7      6      4      1      4      10     9      3      6      2      7      5      10     
Melanijus           Kateiva             3      10     3      9      3      3      4      10     5      5      9      5      9      1      1      4      6      9      2      9      4      
Giedrius            Butkus              3      4      5      3      8      1      2      6      9      1      1      4      5      3      9      5      2      10     2      10     8      
Bartvydas           Kavaliauskas        6      4      10     6      8      3      5      7      1      5      4      1      4      6      1      1      7      8      1      8      2      
Pilenas             Stankevicius        7      8      8      2      9      2      9      1      9      1      6      2      5      10     8      3      8      4      4      7      1      
Mazvydas            Vasiliauskas        6      10     1      1      7      5      9      4      2      2      2      9      4      8      9      2      3      8      4      2      7      
Inocentas           Baranauskas         6      5      7      1      5      8      9      6      9      7      4      9      3      9      4      10     10     10     8      3      1      
Artas               Pocius              5      1      7      7      6      4      9      6      6      8      4      7      9      9      7      10     1      6      1      8      9      
Brunonas            Petrauskas          8      8      4      2      8      9      4      1      5      9      10     10     4      7      6      5      6      5      2      6      4      
Timotis             Butkus              3      1      3      6      10     6      4      9      7      2      5      3      5      4      7      9      4      9      5      3      2      
Vygirdas            Baranauskas         6      2      8      4      5      4      8      5      6      7      4      1      3      10     7      7      6      5      10     4      10     
Gedminas            Urbonas             10     3      1      5      4      6      1      1      5      1      1      2      2      5      9      4      8      7      7      8      8      
Richardas           Stankevicius        8      6      6      1      10     2      10     2      8      1      1      2      5      10     5      10     7      10     3      3      2      
Tauras              Baranauskas         6      3      4      7      8      7      6      9      6      3      10     3      2      2      10     3      9      5      5      9      4      
Maksimas            zukauskas           6      2      2      9      8      9      10     10     3      6      8      6      6      6      10     6      1      8      10     6      2      
Gunaras             Stankevicius        8      9      3      9      6      2      4      10     1      9      4      10     7      8      9      8      4      7      8      10     8      
Vytis               Jankauskas          7      2      7      7      4      7      5      6      3      2      4      5      1      3      9      8      3      10     3      4      4      
ciogintas           Kavaliauskas        6      6      10     2      9      8      1      10     2      7      6      9      5      7      10     4      9      10     3      5      4      
Adalbertas          Kavaliauskas        1      2      10     7      4      6      10     6      3      2      8      5      8      9      8      10     1      7      4      1      5      
Felicijonas         Sakalauskas         10     4      3      2      6      8      2      1      3      8      10     4      7      4      9      8      6      3      7      3      4      
Jevgenijus          Butkus              6      4      4      3      4      8      1      4      3      1      9      3      4      4      2      8      4      2      9      8      9      
Valentinas          Butkus              3      2      2      10     9      4      8      5      7      7      6      6      2      7      4      1      10     1      4      8      5      
Nidas               Baranauskas         9      5      9      9      6      7      8      5      4      4      10     9      6      10     8      10     8      9      4      3      3      
Jonaras             Butkus              5      9      7      9      1      1      9      7      9      2      2      1      4      9      8      4      10     9      6      6      7      
Gedvilas            Paulauskas          5      8      8      4      8      7      8      2      10     10     9      10     9      7      3      7      8      10     6      7      7      
Rimtas              Vasiliauskas        7      3      5      10     10     4      9      2      3      10     4      8      2      2      2      9      2      2      3      1      3      
Viesulas            Paulauskas          2      7      10     3      6      4      6      6      6      9      8      10     5      9      8      9      5      10     2      4      7      
Valdis              Stankevicius        7      3      1      2      1      5      7      2      4      7      1      9      7      5      3      2      1      2      5      1      3      
Benediktas          Vasiliauskas        5      5      2      9      1      8      8      6      7      7      5      7      9      3      4      10     7      1      3      4      9      
Edvardas            Kazlaukas           9      9      10     4      10     2      1      4      5      10     8      8      4      4      3      4      9      4      5      7      1      
Alpis               Kazlaukas           9      10     4      1      5      5      6      10     9      10     4      4      1      10     7      3      4      9      6      5      10     
Teisutis            Kateiva             6      6      5      6      1      4      9      10     2      1      8      10     10     2      2      6      9      7      2      9      4      
Vaitiekus           Kavaliauskas        9      6      8      10     9      1      7      8      9      6      5      10     10     3      6      6      3      9      7      7      8      
Samsonas            Urbonas             1      1      6      8      4      10     5      1      2      10     4      8      6      10     5      7      8      1      4      10     1      
Almonas             Kateiva             1      8      1      1      2      3      10     3      7      9      7      3      5      9      7      8      7      2      1      3      3      
Viktoras            Pocius              1      5      10     1      4      9      2      8      6      10     9      1      9      9      1      6      1      6      4      8      4      
Genrichas           Baranauskas         8      4      10     8      10     8      5      2      4      8      8      1      4      6      9      5      9      9      10     10     7      
Reginaldas          Paulauskas          3      7      2      6      3      3      1      9      7      7      5      5      6      4      6      5      3      5      3      9      9      
Gedgaudas           Kazlaukas           7      2      9      10     1      9      1      4      2      10     6      8      4      9      6      7      3      7      5      5      9      
Makaras             Butkus              1      4      5      3      1      3      8      2      2      9      1      3      7      3      6      10     1      8      9      1      6      
Minijus             Jankauskas          3      10     1      8      8      8      7      7      1      10     9      7      5      1      10     8      9      9      3      9      9      
Stefanas            Butkus              5      1      5      5      2      5      10     2      4      3      10     6      10     3      8      6      4      6      6      1      7      
Maksimas            Paulauskas          2      8      4      7      2      6      9      10     4      5      4      6      3      10     8      9      9      4      10     5      8      
Dainius             Jankauskas          8      9      8      10     10     2      1      1      7      2      4      4      4      8      6      8      9      4      4      5      8      
Motiejus            Kavaliauskas        4      6      9      4      3      6      9      8      7      10     10     4      10     6      9      4      7      4      7      4      7      
Narsutis            Urbonas             8      7      9      2      7      4      5      2      8      5      7      1      3      3      7      7      4      2      7      3      4      
Rimvydas            Pocius              6      7      2      10     2      3      5      8      1      8      10     4      2      4      1      2      6      6      6      2      4      
Elmantas            Kateiva             4      9      3      2      7      7      8      4      4      7      10     7      1      4      1      10     9      9      6      8      7      
Norvydas            Baranauskas         9      7      1      9      9      10     2      6      4      3      3      5      6      10     2      7      7      2      8      5      2      
Jankelis            Kavaliauskas        9      4      1      5      1      2      5      6      10     9      1      4      6      2      6      5      3      2      7      6      6      
Jezis               Sakalauskas         8      6      3      3      2      4      4      1      8      1      9      10     2      7      6      10     10     2      9      4      2      
Valerijonas         Butkus              9      3      7      6      9      5      8      3      1      2      6      6      8      10     4      7      9      2      1      9      10     
Laimis              Paulauskas          2      3      9      2      10     8      2      9      7      1      3      5      5      1      1      5      10     1      9      1      3      
Ulrikas             Vasiliauskas        2      5      6      1      7      9      10     4      8      4      6      8      1      7      5      10     10     2      10     5      3      
Michailas           Kavaliauskas        2      4      4      10     3      5      2      6      4      10     10     7      8      6      6      6      10     7      8      9      9      
Deimantas           Urbonas             5      3      2      1      7      5      8      7      9      3      5      5      10     1      6      6      8      7      3      8      10     
Jaunutis            Kateiva             4      10     4      5      7      5      2      2      8      3      1      2      10     3      3      4      7      5      1      4      3      
Gunaras             Petrauskas          1      7      2      4      4      3      4      6      6      7      2      9      9      7      9      5      9      10     6      3      6      
Liubartas           Kateiva             2      6      10     8      1      5      3      9      9      5      8      8      4      1      8      1      8      2      4      9      4      
Michailas           Sakalauskas         5      9      8      1      10     4      8      6      4      7      4      6      5      9      6      9      4      3      4      1      3      
Marijonas           Vasiliauskas        9      2      1      2      8      10     6      5      3      6      8      2      4      3      3      8      9      7      6      1      5      
Semionas            Baranauskas         5      5      9      6      1      6      6      1      10     6      7      3      6      3      3      2      4      3      3      5      3      
Gaudrimas           Baranauskas         8      8      1      1      7      10     9      8      5      8      10     10     7      10     8      9      5      4      10     7      10     
Arvaidas            Baranauskas         9      2      9      6      6      10     10     3      2      1      8      8      7      6      1      6      7      4      9      10     6      
Reinhardas          Jankauskas          10     10     1      4      6      9      4      9      6      3      1      4      6      3      9      10     1      1      9      3      9      
Vaigaudas           zukauskas           5      6      6      6      7      6      10     4      3      3      4      3      10     2      9      8      4      5      5      4      5      
Milvydas            Stankevicius        9      9      8      3      1      6      4      8      2      9      9      7      1      3      4      8      7      6      2      9      4      
Lauris              Urbonas             8      7      8      5      1      3      5      5      9      6      3      3      4      5      5      8      3      5      4      10     9      
Viltenis            Urbonas             1      10     4      9      4      3      4      2      3      2      1      1      7      8      3      10     4      2      2      1      7      
Francas             Kazlaukas           4      4      10     3      6      7      8      9      4      9      10     5      7      8      10     6      3      7      2      6      4      
Akimas              Vasiliauskas        3      7      7      5      1      4      7      10     8      6      3      9      3      8      5      8      9      2      8      5      10     
Vitalis             zukauskas           6      4      8      1      1      1      4      7      7      4      9      8      8      8      3      3      3      2      5      3      8      
Felicijus           Sakalauskas         7      9      6      4      8      7      3      9      3      10     9      8      2      5      1      2      9      7      5      3      8      
Liudvikas           Pocius              10     10     9      1      2      7      4      3      8      7      6      10     6      9      8      9      6      8      3      4      4      
Marijonas           zukauskas           8      10     6      10     10     1      9      4      7      7      6      2      10     9      3      4      9      7      1      4      1      
Osvaldas            Stankevicius        2      7      1      5      9      6      6      2      1      8      8      7      4      6      10     3      5      7      4      4      4      
Skomantas           Urbonas             4      7      4      6      6      6      4      9      9      10     1      6      10     7      3      2      5      6      5      4      6      
Telesforas          Baranauskas         8      1      8      8      9      6      3      8      1      4      8      5      5      3      2      9      9      8      2      9      5      
Naumas              Paulauskas          4      2      4      9      3      3      1      2      8      1      4      9      1      9      8      8      1      5      7      6      8      
Agnius              Paulauskas          7      8      7      8      5      5      7      1      7      4      6      3      10     2      9      9      6      9      4      3      5      
Jezis               Baranauskas         8      9      1      2      8      1      3      9      1      2      8      3      8      1      5      10     4      5      7      2      7      
Silverijus          Kavaliauskas        5      5      2      2      9      9      6      1      1      4      9      1      6      2      7      4      2      3      2      6      6      
Jonaras             Petrauskas          10     7      4      7      1      9      6      7      6      4      5      9      2      1      7      2      6      4      9      9      3      
Gediminas           Pocius              3      5      3      7      4      10     1      1      9      2      10     1      1      1      2      5      9      3      3      5      4      
Gedvaldas           Jankauskas          7      9      3      5      7      8      7      6      8      6      7      3      6      3      3      10     8      5      7      9      1      
Kondratas           Butkus              7      4      7      6      4      4      6      9      10     8      1      1      2      6      6      9      3      9      5      6      9      
Neivydas            Baranauskas         3      7      8      6      7      10     5      9      6      9      8      1      9      9      2      3      5      5      10     4      5      
Narcizas            Kateiva             1      4      8      1      4      1      1      4      5      2      6      2      7      9      1      2      6      8      1      6      3      
Gasparas            Butkus              10     3      2      8      9      8      6      10     1      7      6      10     7      8      5      4      9      3      1      5      5      
Gailimantas         Butkus              6      9      6      9      8      10     4      9      1      9      10     10     5      3      10     2      3      1      7      6      7      
Vydimantas          Sakalauskas         4      8      4      6      6      6      7      4      10     9      3      10     9      2      9      5      1      3      10     7      7      
Mecislovas          Kavaliauskas        6      5      8      10     10     8      4      1      4      2      7      7      3      4      4      8      7      9      9      1      8      
Haris               zukauskas           4      9      5      9      2      3      4      7      4      8      3      5      3      7      10     7      10     5      4      4      3      
Vitalis             Kateiva             2      6      9      10     9      4      9      9      4      6      5      7      5      3      8      1      7      7      4      6      3      
Anupras             Butkus              1      3      2      4      3      4      4      10     6      8      3      9      8      5      8      10     4      2      3      4      9      
Liubomiras          Jankauskas          8      3      5      2      4      10     3      5      4      7      1      3      10     9      4      10     7      10     1      10     9      
Joris               Paulauskas          10     2      9      3      3      10     9      7      4      8      5      1      4      2      6      7      6      10     1      7      1      
Mateusas            Petrauskas          1      6      5      10     9      9      1      8      1      6      9      4      2      4      8      8      2      8      10     5      10     
Utenis              Kazlaukas           7      10     5      5      7      2      4      10     4      7      8      7      8      5      8      3      2      3      1      1      6      
Liucijonas          Petrauskas          10     7      8      9      4      8      9      9      7      6      5      2      8      9      8      5      4      8      10     7      6      
Klimentijus         Kateiva             3      4      9      1      8      6      4      10     6      3      9      1      9      7      7      7      8      3      1      3      8      
Alenas              Jankauskas          1      5      6      3      6      7      9      9      1      9      9      6      9      1      1      4      10     3      7      10     2      
Nikolajus           Stankevicius        2      9      9      7      1      6      5      2      7      10     4      3      6      1      10     2      10     2      2      6      6      
Richardas           Stankevicius        9      4      1      2      6      9      7      1      8      1      4      1      5      3      4      6      6      4      5      8      1      
Bazilijus           Kazlaukas           10     6      4      1      7      1      5      1      8      6      10     5      5      7      8      4      7      9      4      3      10     
Svajus              zukauskas           3      5      3      10     3      7      9      3      7      3      3      6      9      10     2      2      4      3      4      2      6      
Alfredas            Kateiva             7      2      7      3      6      4      1      1      6      1      9      5      1      6      2      7      2      8      7      4      10     
Aleksas             Butkus              6      10     4      3      1      9      8      10     3      7      9      5      7      10     7      10     5      7      7      4      6      
Mangirdas           zukauskas           6      8      7      5      6      6      2      7      7      10     7      4      8      1      5      5      4      7      10     10     7      
Anatolis            Butkus              7      6      4      1      3      10     5      2      6      10     1      4      5      8      4      9      1      6      9      1      6      
azuolas             Kavaliauskas        10     2      1      5      3      10     2      7      2      10     1      6      3      10     6      7      8      8      2      4      2      
Rafaelis            Kazlaukas           8      5      3      9      3      8      6      2      6      4      9      10     5      4      1      3      1      3      8      7      3      
Irenijus            Kateiva             6      10     3      3      4      9      1      10     10     1      3      6      9      8      4      6      6      7      8      10     2      
Gustavas            Butkus              2      4      10     2      8      10     8      1      1      4      8      6      3      1      10     4      3      10     3      2      8      
Julijus             Jankauskas          5      7      6      6      4      8      1      1      7      9      6      8      4      8      3      1      2      3      9      5      4      
Elijus              Butkus              6      6      3      2      8      6      8      8      9      3      7      8      4      7      9      2      2      10     9      8      8      
Germantas           Kavaliauskas        5      8      6      7      3      10     2      2      6      3      2      9      4      1      2      3      7      3      8      2      2      
Viesulas            zukauskas           7      7      2      9      6      7      3      10     10     9      5      6      9      10     3      3      1      7      6      3      6      
Vaidotas            Vasiliauskas        9      2      10     5      3      10     9      2      7      5      7      1      3      1      2      1      5      5      6      4      3      
Simas               Urbonas             5      1      10     10     2      2      8      5      6      7      9      3      6      1      2      10     2      4      6      5      8      
Tarasas             Vasiliauskas        6      7      1      5      10     5      7      6      2      6      10     7      6      6      8      7      8      8      10     1      6      
Fiodoras            Butkus              3      10     9      1      1      9      6      6      10     6      1      7      5      10     3      9      6      5      4      8      8      
Jakovas             Paulauskas          7      10     9      6      8      9      6      7      10     2      5      4      1      8      2      3      10     8      8      3      6      
Vigilijus           Petrauskas          4      7      5      6      5      5      6      8      10     9      8      5      7      3      1      9      5      8      6      8      4      
Vejunas             Baranauskas         8      9      1      3      5      8      5      9      3      3      10     2      1      10     3      4      4      10     5      8      8      
Irenijus            zukauskas           8      4      5      3      1      10     6      6      5      7      9      3      6      10     7      6      6      9      2      5      8      
Jogirdas            zukauskas           2      5      5      4      3      3      2      9      10     2      3      3      6      1      4      2      7      8      8      3      9      
Kornelijus          Butkus              5      1      2      9      7      7      3      9      8      2      9      6      6      4      6      9      2      3      8      9      3      
Aras                Vasiliauskas        8      5      8      10     4      2      1      4      9      10     7      3      9      4      2      6      9      3      2      1      2      
Bartvydas           Sakalauskas         7      3      4      1      3      7      4      2      4      4      5      3      9      1      3      10     8      8      9      2      5      
Vygirdas            Butkus              9      10     4      6      7      4      9      4      10     5      8      4      8      5      10     1      1      6      4      10     2      
Aristidas           Paulauskas          3      10     3      6      7      2      8      6      6      2      3      9      10     7      3      3      9      3      4      8      5      
Lauris              Kavaliauskas        3      7      6      1      3      5      6      2      8      8      5      3      5      6      2      6      2      5      4      4      10     
Rysardas            zukauskas           4      5      4      9      10     3      7      10     1      2      6      6      9      8      9      7      2      4      6      1      6      
Zygfridas           Kazlaukas           2      7      6      5      5      7      4      3      9      10     2      1      1      8      10     1      10     10     7      4      6      
Gaudenis            Kateiva             1      1      6      6      8      8      5      4      3      8      9      7      2      7      1      10     9      4      5      4      5      
Napolis             Kazlaukas           9      2      7      2      7      5      4      8      8      1      8      1      2      4      7      6      10     7      4      5      9      
Aristarchas         Butkus              9      8      10     7      5      7      4      5      7      5      8      3      4      9      5      6      3      5      7      10     8      
Raimundas           Pocius              9      10     10     8      2      4      9      2      10     5      9      9      10     9      5      3      1      9      6      3      5      
Gilbertas           zukauskas           6      8      8      9      2      8      9      9      9      6      8      6      1      7      9      7      8      4      3      6      10     
Mikas               Paulauskas          10     6      4      10     5      6      5      8      1      10     1      7      7      3      9      2      9      8      1      2      7      
Ilja                Pocius              5      1      6      5      5      4      8      5      3      7      3      1      1      2      6      3      9      5      9      4      8      
zibartas            Vasiliauskas        5      7      1      10     10     9      7      3      6      8      2      4      3      2      7      3      5      9      10     9      9      
Emilijonas          Stankevicius        10     3      8      2      6      9      2      2      7      5      9      8      2      6      2      6      7      3      7      9      10     
Milvydas            Kazlaukas           3      2      6      6      3      8      1      7      9      4      7      10     6      5      9      8      9      5      5      7      9      
Paulis              Urbonas             8      4      1      2      5      8      4      8      9      9      1      10     8      5      8      8      1      3      2      6      5      
Boleslovas          Urbonas             9      2      1      2      9      6      2      3      7      10     9      6      6      4      7      10     9      8      6      7      6      
Verneris            Petrauskas          9      3      6      9      3      1      9      1      9      1      4      6      1      1      3      1      5      10     10     2      6      
Maksimilijonas      Kateiva             4      8      9      1      6      6      7      1      3      9      6      1      1      5      1      5      4      7      7      5      7      
zygintas            Pocius              5      2      10     1      4      1      7      3      6      9      6      8      9      5      9      5      5      5      8      7      8      
Nazaras             Vasiliauskas        4      10     1      6      3      3      3      8      7      10     2      2      7      5      3      6      6      4      6      3      2      
Martinas            Stankevicius        9      10     3      8      6      8      4      7      5      9      9      3      8      2      6      7      5      7      7      6      8      
Vykantas            Kazlaukas           5      3      8      9      2      2      7      9      8      6      1      6      10     8      6      6      1      6      1      3      1      
Eidminas            Kateiva             10     9      3      6      2      9      2      3      1      4      8      8      5      1      1      9      6      2      5      9      9      
Gendrius            Kavaliauskas        3      6      9      7      1      10     6      1      7      3      4      3      5      10     7      6      2      7      6      7      4      
Aldonas             Kazlaukas           5      10     5      7      6      1      3      2      8      7      8      9      6      7      3      3      9      10     6      8      10     
Arunas              zukauskas           5      4      3      3      4      5      2      2      1      8      9      8      9      8      7      2      1      5      9      2      10     
Andriejus           Paulauskas          9      5      1      4      6      10     1      3      5      10     10     10     2      8      7      1      1      3      1      10     2      
Neimantas           Kavaliauskas        1      6      4      5      9      10     10     9      10     5      1      4      2      6      6      9      8      7      1      8      4      
Vaidas              Kavaliauskas        5      6      10     7      5      6      6      9      9      1      7      2      5      10     10     7      6      6      6      4      3      
Leandras            Paulauskas          8      5      8      1      4      10     8      9      6      10     2      5      3      4      8      8      3      3      1      8      4      
Vylius              Jankauskas          2      5      5      10     4      5      9      10     9      5      5      9      5      7      7      1      4      6      8      10     8      
Arkadijus           Pocius              2      7      8      2      6      6      7      5      5      4      3      1      5      8      6      3      7      10     4      5      7      
Astijus             Pocius              2      8      3      2      9      9      6      3      7      4      1      6      2      4      6      4      10     7      6      8      4      
Osmundas            Urbonas             6      9      8      10     9      7      5      4      1      4      1      6      4      10     8      6      6      3      6      6      2      
Putinas             Baranauskas         6      8      6      10     10     6      1      3      5      10     10     2      8      8      10     1      8      2      6      1      2      
Skalmantas          Jankauskas          4      7      8      8      8      6      5      1      1      5      9      10     10     10     2      9      5      9      1      2      6      
Romualdas           Urbonas             8      6      8      10     2      6      3      10     1      4      3      10     9      10     5      6      4      5      1      10     6      
Mamertas            Stankevicius        9      7      10     9      6      8      2      1      3      10     1      7      4      1      1      1      7      6      8      7      2      
Izidorius           Vasiliauskas        10     5      3      10     10     3      5      7      1      6      7      8      4      7      8      4      3      5      8      8      3      
Dangerutis          zukauskas           6      3      5      4      6      2      5      4      2      7      5      8      6      1      8      7      10     1      7      3      5      
Jevgenijus          Jankauskas          10     8      7      1      9      9      9      3      9      4      5      3      7      10     4      4      4      3      10     1      8      
Leopoldas           Jankauskas          5      3      4      7      7      2      10     2      2      6      3      10     4      6      8      8      4      10     1      1      7      
Audrius             Kazlaukas           7      6      7      7      8      10     6      10     3      5      6      1      9      5      5      10     2      2      3      5      4      
Pranciskus          Kavaliauskas        7      10     6      2      8      5      9      2      6      9      3      3      5      2      4      9      10     5      3      3      4      
Ervinas             Vasiliauskas        8      8      10     7      3      4      6      1      9      8      9      7      8      9      1      3      1      9      3      1      7      
Dzonis              Butkus              2      1      7      10     3      2      2      10     4      9      8      2      1      1      8      8      8      6      5      3      5      
Akvilinas           Kavaliauskas        7      2      2      4      2      3      6      6      1      10     9      10     8      9      3      9      6      8      6      9      10     
Teisutis            Urbonas             6      5      6      9      6      1      4      5      7      7      2      4      6      9      6      5      1      4      6      8      5      
Dalius              Kavaliauskas        10     7      9      7      6      1      9      9      6      10     1      6      7      9      10     3      5      9      4      6      1      
Almis               Kazlaukas           5      3      7      1      10     2      10     6      9      7      4      1      3      1      3      4      8      7      7      8      3      
Klimentijus         zukauskas           5      5      10     8      10     1      5      10     1      4      8      4      9      8      2      7      5      1      6      9      5      
Tiberijus           Kazlaukas           5      6      9      10     3      2      4      5      10     7      8      3      6      9      5      4      8      10     8      10     2      
Drasutis            Kateiva             9      1      10     9      2      5      2      2      1      7      7      8      1      1      3      9      1      8      5      7      8      
Judrius             Stankevicius        10     8      4      10     4      8      5      9      2      5      8      9      10     2      10     1      3      7      2      8      4      
Indrius             Sakalauskas         10     3      9      6      8      2      8      7      7      3      6      2      6      7      5      2      5      7      7      3      10     
zymantas            Stankevicius        7      9      10     4      8      1      1      4      6      10     2      4      9      4      10     4      4      10     6      1      3      
Alpis               Kazlaukas           5      6      2      8      5      4      5      2      2      3      5      3      5      6      4      1      8      4      8      9      10     
Ramonas             Sakalauskas         9      5      6      8      7      7      8      5      8      1      9      5      9      7      10     10     5      7      7      6      10     
Gavrilas            Urbonas             4      5      10     3      9      9      4      7      7      9      7      1      10     4      6      1      9      2      1      9      6      
Mecislavas          Stankevicius        9      1      6      1      4      1      3      3      10     6      2      5      7      5      7      8      5      2      2      5      6      
Grazvydas           Urbonas             8      2      9      4      4      10     8      3      7      9      6      5      10     6      9      3      5      1      3      4      2      
Pijus               Pocius              9      1      8      1      6      9      10     4      9      5      4      6      9      2      10     4      8      8      5      1      6      
Lauris              Petrauskas          2      6      9      5      5      10     8      10     4      3      3      10     10     3      8      9      6      8      8      1      1      
Nilas               Jankauskas          1      1      7      4      7      1      5      3      6      5      2      10     8      7      6      9      10     2      1      9      9      
Abraomas            Paulauskas          6      8      4      1      6      10     4      4      1      10     2      10     3      3      2      6      10     3      1      3      2      
Raimundas           Pocius              10     9      3      7      4      6      1      8      6      1      8      4      1      7      3      6      9      4      1      1      10     
Jevgenijus          Butkus              10     7      2      5      5      2      6      9      4      2      5      9      10     10     9      3      1      10     7      8      5      
Mykolas             Butkus              2      4      4      9      2      7      9      5      1      5      5      1      10     1      3      1      5      1      9      7      6      
Mantas              Stankevicius        5      10     2      4      9      4      9      1      3      6      1      4      3      6      4      3      9      5      1      3      10     
Vilnius             Jankauskas          3      10     2      9      9      10     9      2      5      10     1      10     1      1      4      10     7      6      1      10     4      
Nikodemas           Baranauskas         7      9      8      2      10     10     10     2      3      4      10     7      10     8      9      7      10     7      3      10     6      
Lauris              Baranauskas         7      3      8      8      9      3      7      8      6      9      1      10     7      4      7      10     4      2      4      7      2      
Bazilijus           Sakalauskas         3      6      8      6      10     6      1      9      9      1      2      10     1      7      5      4      4      4      3      9      3      
Ulrikas             Petrauskas          6      6      10     4      4      1      5      7      10     1      6      9      10     3      10     9      3      6      3      9      7      
Rokas               Petrauskas          8      8      7      7      2      1      10     1      7      1      1      7      6      9      7      1      5      1      6      1      7      
Herbertas           Pocius              10     9      6      10     1      3      6      3      10     5      1      3      5      3      3      6      10     3      8      6      7      
Zakarijus           Urbonas             5      3      5      8      2      6      4      3      7      8      4      8      6      7      8      4      9      2      6      4      2      
