Vardas              Pavarde             Vid.                Med.                
Domantas            zukauskas           5.46                6                   
Domantas            Baranauskas         5.72                5.5                 
Domas               Sakalauskas         5.96                5.5                 
Domas               Pocius              6.5                 5.5                 
Domas               Sakalauskas         6.86                5.5                 
Domas               zukauskas           7.02                6                   
Domas               Urbonas             7.68                5.5                 
Domas               Urbonas             8.16                6                   
Domas               zukauskas           6.44                5                   
Dominykas           Baranauskas         5.74                5.5                 
Dominykas           Pocius              7.18                6.5                 
Dominykas           Sakalauskas         7.72                6                   
Dominykas           Baranauskas         8.52                7                   
Dominykas           Stankevicius        5.26                8                   
Dominykas           Urbonas             6.24                5                   
Dominykas           Jankauskas          6.08                6                   
Dominykas           Pocius              6.54                6                   
Donaldas            Pocius              5.46                5                   
Donaldas            Urbonas             8.14                6                   
Donaldas            Vasiliauskas        7.14                6                   
Donaldas            zukauskas           5.4                 6.5                 
Donaldas            Kazlaukas           7.4                 7                   
Donaldas            Kazlaukas           7.2                 6                   
Donaldas            Butkus              8.02                5                   
Donaldas            Urbonas             6.92                5                   
Donatas             Urbonas             5.76                5                   
Donatas             Urbonas             8.16                5                   
Donatas             Kazlaukas           6.96                5                   
Donatas             Stankevicius        5.62                5                   
Dovilis             Sakalauskas         8.16                6.5                 
Dovilis             Kavaliauskas        5.92                5.5                 
Dovilis             Paulauskas          7.98                5                   
Dovilis             Baranauskas         5.66                5.5                 
Dovilis             Vasiliauskas        6.18                5.5                 
Dovis               zukauskas           7.74                6                   
Dovis               Stankevicius        5.9                 5.5                 
Dovis               Jankauskas          5.9                 6                   
Dovis               Urbonas             5.04                5                   
Dovis               Baranauskas         5.88                5                   
Dovydas             Petrauskas          6.36                6                   
Dovydas             Stankevicius        6.4                 5.5                 
Drasius             Petrauskas          7.1                 6                   
Drasius             Jankauskas          5.46                7                   
Drasius             Jankauskas          7.66                6.5                 
Drasius             Vasiliauskas        6.9                 5.5                 
Drasutis            Kateiva             6.76                5                   
Drasutis            Kateiva             6.6                 6                   
Drasutis            Pocius              5.82                6                   
Drasutis            Vasiliauskas        5.06                5                   
Drasutis            zukauskas           8.12                5                   
Drasutis            zukauskas           5.1                 8                   
Drasutis            Jankauskas          7.06                8                   
Drasutis            Kazlaukas           7.2                 5                   
Drasutis            zukauskas           5.18                5                   
Dzeraldas           Petrauskas          5.26                6.5                 
Dzeraldas           Butkus              5.62                5.5                 
Dzeraldas           Urbonas             7.9                 7                   
Dzeraldas           Stankevicius        6.08                6                   
Dzeraldas           Butkus              5.84                6                   
Dziraldas           Sakalauskas         8.14                5                   
Dziraldas           Stankevicius        6.6                 6.5                 
Dziraldas           Sakalauskas         5.72                5                   
Dziraldas           Jankauskas          7.54                5                   
Dziugas             Butkus              7.12                5                   
Dziugas             Baranauskas         6.26                7                   
Dziugas             zukauskas           6.4                 6                   
Dziugas             Stankevicius        7.88                8                   
Dziugas             Kavaliauskas        6.02                6.5                 
Dziugas             Paulauskas          5.38                6                   
Dziugas             Kateiva             5.08                5.5                 
Dziugas             Kazlaukas           8.02                5.5                 
Dziugas             Petrauskas          7.54                7                   
Dzonis              Kazlaukas           6.32                5                   
Dzonis              Vasiliauskas        7.84                6.5                 
Dzonis              Stankevicius        6.02                6                   
Dzonis              Sakalauskas         7.8                 6.5                 
Dzonis              Paulauskas          7.16                5.5                 
Dzonis              Vasiliauskas        6.58                6.5                 
Dzonis              Kateiva             5.18                5                   
Dzonis              Urbonas             6.26                5                   
Dzonis              Stankevicius        5.5                 6.5                 
Edgaras             Pocius              6.56                6.5                 
Edgaras             Jankauskas          8.32                6                   
Edgaras             Butkus              7.62                5.5                 
Edgaras             Paulauskas          5.74                7                   
Edmundas            Sakalauskas         8.68                8                   
Edmundas            Vasiliauskas        6                   5.5                 
Eduardas            Vasiliauskas        5.58                7                   
Eduardas            zukauskas           5.06                6                   
Eduardas            Kateiva             7.08                6                   
Eduardas            Sakalauskas         5.36                6                   
Eduardas            Baranauskas         8.06                7                   
Eduardas            Butkus              5.84                5                   
Eduardas            zukauskas           5.32                6                   
Eduardas            Baranauskas         7.7                 5.5                 
Edvardas            Pocius              8.8                 7.5                 
Edvardas            zukauskas           7.36                6.5                 
Edvinas             Petrauskas          6.52                7                   
Edvinas             Sakalauskas         5.2                 5                   
Edvinas             Kavaliauskas        8.34                6                   
Edvinas             Kateiva             7.48                5                   
Edvinas             Urbonas             7.76                5.5                 
Edvinas             Pocius              6.98                6                   
Edvinas             Stankevicius        7.22                6                   
Edvinas             Kazlaukas           7.44                5.5                 
Egidijus            Sakalauskas         5.34                5                   
Egidijus            Pocius              8.3                 6.5                 
Egidijus            Butkus              5.58                6.5                 
Egidijus            Kazlaukas           7.02                5.5                 
Egidijus            Kazlaukas           6.52                6                   
Egidijus            Vasiliauskas        5.84                6                   
Egidijus            zukauskas           7.82                6                   
Egidijus            Paulauskas          5.66                5                   
Egidijus            Butkus              5.72                5.5                 
Eidimantas          Urbonas             5.38                5.5                 
Eidimantas          Kavaliauskas        5.54                6.5                 
Eidimantas          Stankevicius        5.48                6                   
Eidimantas          Kavaliauskas        7.06                6                   
Eidimantas          Pocius              7.32                5                   
Eidimantas          Urbonas             6.46                5                   
Eidminas            Kateiva             7.46                5                   
Eidminas            Kazlaukas           7.56                5.5                 
Eidminas            zukauskas           7.76                5.5                 
Eidminas            Kazlaukas           5.34                6.5                 
Eidminas            Petrauskas          7.52                6                   
Eidvydas            Pocius              6.24                8                   
Eidvydas            Jankauskas          5                   5.5                 
Eidvydas            Urbonas             8.14                6                   
Eidvydas            Petrauskas          6.8                 5                   
Eidvydas            Jankauskas          5.16                5                   
Eidvydas            Paulauskas          5.86                6.5                 
Eimantas            Butkus              5.08                7                   
Eimantas            Pocius              7.12                6                   
Eimantas            zukauskas           7.36                7                   
Eimantas            Stankevicius        7.12                6                   
Eimantas            Jankauskas          6.88                5                   
Eimis               Vasiliauskas        6.6                 6.5                 
Eimis               zukauskas           7.46                5                   
Eimis               Kavaliauskas        7.12                6.5                 
Eimis               zukauskas           5                   7                   
Eimis               Vasiliauskas        8.44                6                   
Eimis               Jankauskas          5.26                5.5                 
Eimis               Vasiliauskas        7.6                 7.5                 
Einius              Jankauskas          6.16                5                   
Einius              Butkus              6.74                6                   
Einius              Kateiva             5.68                5                   
Einius              Urbonas             8.14                5.5                 
Einius              Kazlaukas           6.22                6                   
Einius              Sakalauskas         5.98                6                   
Einius              Paulauskas          7.06                5                   
Eivydas             zukauskas           7.78                7                   
Eivydas             Petrauskas          6.28                7                   
Eivydas             Pocius              5.84                6                   
Eldaras             Sakalauskas         7.5                 6                   
Eldaras             Urbonas             5.02                5                   
Eligijus            Kazlaukas           5.9                 5.5                 
Eligijus            Jankauskas          6.06                7                   
Eligijus            Kavaliauskas        5.98                6.5                 
Eligijus            Jankauskas          6.76                5                   
Eligijus            Baranauskas         6.58                5.5                 
Eligijus            Urbonas             5.1                 5.5                 
Eligijus            Urbonas             5.16                6                   
Eligijus            Stankevicius        6.02                6.5                 
Elijus              Butkus              7.3                 7                   
Elijus              Petrauskas          6.64                6                   
Elijus              Butkus              6.84                5.5                 
Elijus              Kateiva             5.44                6                   
Elijus              Urbonas             7.92                7                   
Elijus              Sakalauskas         7.58                6                   
Elijus              Sakalauskas         8.44                6.5                 
Elmantas            Kateiva             6.6                 7                   
Elmantas            Jankauskas          5.72                5.5                 
Elmantas            Kateiva             6.62                6.5                 
Emanuelis           Paulauskas          6.38                7                   
Emanuelis           Urbonas             6.96                6                   
Emanuelis           Kazlaukas           6.38                5                   
Emanuelis           zukauskas           6.86                7                   
Emanuelis           Petrauskas          6.42                7.5                 
Emilijonas          Pocius              7.1                 5.5                 
Emilijonas          Stankevicius        8.26                6                   
Emilijonas          Kateiva             6.62                6.5                 
Emilijonas          Paulauskas          7.38                5                   
Emilijonas          Jankauskas          6.56                5                   
Emilijonas          Kateiva             8.18                5                   
Emilijonas          Kavaliauskas        5.84                5.5                 
Emilijus            Petrauskas          8.34                5                   
Emilijus            Kazlaukas           6.6                 6                   
Emilijus            Pocius              7.4                 5                   
Emilijus            Kavaliauskas        6.46                7                   
Emilijus            Butkus              7.48                5                   
Emilijus            Vasiliauskas        7.7                 5.5                 
Emilijus            Urbonas             7.04                6                   
Emilijus            Urbonas             5.86                6.5                 
Emilijus            Baranauskas         5.94                6.5                 
Emilis              Kateiva             7.44                5                   
Emilis              Kavaliauskas        6.48                5.5                 
Enrikas             Sakalauskas         6.42                5.5                 
Enrikas             zukauskas           5.18                6                   
Enrikas             zukauskas           7.02                5.5                 
Enrikas             Jankauskas          7.32                7                   
Erazmas             Butkus              5.14                7.5                 
Erazmas             zukauskas           6.14                7                   
Erazmas             Baranauskas         5.7                 6                   
Erazmas             Kazlaukas           7.7                 5.5                 
Erdvilas            Petrauskas          7.42                5                   
Erdvilas            Vasiliauskas        7.98                7                   
Erdvilas            Petrauskas          5.54                6                   
Erdvilas            Kateiva             8.5                 7.5                 
Erdvilas            Pocius              7.28                6                   
Erdvilas            Vasiliauskas        8.14                6                   
Erichas             Kateiva             5.34                5.5                 
Erichas             Jankauskas          7.12                6                   
Erichas             Paulauskas          7.16                5.5                 
Erikas              Butkus              7.18                7                   
Erikas              zukauskas           7.34                5                   
Erikas              Kavaliauskas        6.6                 6.5                 
Ernestas            Petrauskas          8.24                6                   
Ernestas            Paulauskas          5.46                5                   
Ernestas            Paulauskas          8.06                7                   
Ernestas            Kavaliauskas        7.54                5.5                 
Ernestas            Butkus              6.78                5                   
Ernestas            Sakalauskas         8.12                7                   
Ervinas             Jankauskas          7.26                6                   
Ervinas             Petrauskas          6.14                7                   
Ervinas             Vasiliauskas        6.5                 7                   
Ervinas             Urbonas             6.94                5                   
Ervinas             Urbonas             7.12                6                   
Ervinas             Vasiliauskas        8.2                 5.5                 
Ervinas             Stankevicius        7.06                6                   
Ervinas             Baranauskas         8.36                8                   
Ervinas             Butkus              7.16                6                   
Eugenijus           Kateiva             6.34                5.5                 
Eugenijus           Kateiva             5.12                5.5                 
Eugenijus           Butkus              7.3                 6                   
Eugenijus           Baranauskas         7.6                 5                   
Eugeniusas          Urbonas             6.94                5                   
Eugeniusas          Kateiva             6.42                5                   
Eugeniusas          Kazlaukas           7.5                 5.5                 
Eugeniusas          Kazlaukas           7.52                5                   
Eugeniusas          Pocius              6.08                6                   
Eugeniusas          Baranauskas         7.16                6.5                 
Eugeniusas          Butkus              6.26                5                   
Eugeniusas          Kazlaukas           5.16                5.5                 
Eugeniusas          Baranauskas         6.96                6                   
Evaldas             Butkus              6.58                6.5                 
Evaldas             Pocius              7.4                 7.5                 
Evaldas             Sakalauskas         6.18                6.5                 
Evaldas             Petrauskas          5.68                5.5                 
Fabijus             Paulauskas          6.5                 5.5                 
Fabijus             Baranauskas         5.52                7                   
Fabijus             Kavaliauskas        7.56                5.5                 
Faustas             Pocius              5.66                7                   
Faustas             Paulauskas          7.84                5                   
Faustas             Sakalauskas         6.44                6                   
Faustas             Kateiva             6.42                6                   
Faustas             Kazlaukas           5.28                6                   
Faustas             Vasiliauskas        8.38                6.5                 
Faustas             Kateiva             6.18                5                   
Faustas             Kavaliauskas        5.44                6.5                 
Fedoras             Vasiliauskas        8.26                5                   
Fedoras             Pocius              7.8                 6.5                 
Felicijonas         zukauskas           8.48                6                   
Felicijonas         Stankevicius        5.08                5.5                 
Felicijonas         Sakalauskas         5.18                5                   
Felicijonas         zukauskas           6.88                5                   
Felicijonas         Kazlaukas           6.44                6                   
Felicijonas         Vasiliauskas        5                   5                   
Felicijonas         Pocius              7.14                5.5                 
Felicijus           Kateiva             6.98                5.5                 
Felicijus           Sakalauskas         7.14                6.5                 
Felicijus           Urbonas             7.54                5.5                 
Felicijus           Stankevicius        5.36                6                   
Felicijus           Kavaliauskas        8.3                 6                   
Feliksas            Butkus              7.32                5                   
Feliksas            Butkus              6.7                 7                   
Feliksas            Sakalauskas         6.06                6.5                 
Feliksas            Urbonas             7.5                 5                   
Feliksas            Paulauskas          6.3                 7.5                 
Feliksas            Jankauskas          7.6                 6                   
Ferdinandas         Kazlaukas           5.6                 8                   
Ferdinandas         Jankauskas          7.04                6.5                 
Ferdinandas         Baranauskas         6.92                5.5                 
Filipas             Kavaliauskas        5.26                5                   
Filipas             Kazlaukas           5.28                6.5                 
Filipas             Paulauskas          6.32                6                   
Filipas             Butkus              6.4                 6                   
Filipas             Kazlaukas           7.88                5                   
Filipas             Jankauskas          6.28                5                   
Fiodoras            Sakalauskas         5.6                 6                   
Fiodoras            Butkus              7.18                6                   
Fiodoras            Kazlaukas           5.42                6                   
Flavijus            Stankevicius        6.94                5                   
Flavijus            Petrauskas          6.9                 6.5                 
Flavijus            Stankevicius        7                   5                   
Flavijus            Vasiliauskas        7.18                5.5                 
Flavijus            Kavaliauskas        8.22                5                   
Flavijus            Sakalauskas         7.06                6                   
Flavijus            Kazlaukas           6.5                 5.5                 
Flavijus            Paulauskas          7.56                5                   
Florijonas          Kazlaukas           8.46                7                   
Florijonas          Pocius              7.08                5.5                 
Florijonas          Baranauskas         5.74                5                   
Florijonas          Paulauskas          5.46                6                   
Florijonas          Stankevicius        6.76                9                   
Foma                Jankauskas          7.18                6                   
Foma                Butkus              7                   7.5                 
Foma                Paulauskas          7.76                6.5                 
Foma                Kateiva             8.2                 8                   
Francas             Stankevicius        7.64                6                   
Francas             Sakalauskas         6.48                5.5                 
Francas             Kavaliauskas        5.38                6                   
Francas             zukauskas           6.18                5                   
Francas             zukauskas           8.4                 6.5                 
Francas             Kateiva             7.5                 5                   
Francas             Pocius              7.68                5                   
Francas             Pocius              8.48                7                   
Francas             Sakalauskas         5.86                8                   
Francisekas         Baranauskas         5.76                6                   
Francisekas         Paulauskas          7.94                7                   
Francisekas         Kateiva             5.56                5                   
Francisekas         Kazlaukas           6.26                7                   
Francisekas         Baranauskas         6.44                5.5                 
Francisekas         Pocius              5.22                5.5                 
Francisekas         Baranauskas         6.54                5.5                 
Fredas              Jankauskas          8.26                6.5                 
Gabrielis           Sakalauskas         6.32                5.5                 
Gabrielis           Vasiliauskas        5.88                5                   
Gabrielis           Sakalauskas         5.54                5                   
Gabrielis           Kavaliauskas        5.4                 6                   
Gabrielius          Vasiliauskas        8.42                6.5                 
Gabrielius          Kazlaukas           7.44                6                   
Gabrielius          Urbonas             5.52                6                   
Gabrielius          Urbonas             7.84                6.5                 
Gailimantas         Butkus              6.76                6.5                 
Gailimantas         Kateiva             5.18                8                   
Gailimantas         Vasiliauskas        8                   6.5                 
Gailius             Pocius              6.34                5                   
Gailius             Jankauskas          6.62                5                   
Gailius             Jankauskas          6.58                5.5                 
Gailius             Stankevicius        6.98                5                   
Galmantas           zukauskas           8.32                7                   
Galmantas           Vasiliauskas        7.78                5.5                 
Galmantas           Kavaliauskas        5.16                5                   
Galmantas           Vasiliauskas        5.06                6                   
Galmantas           Sakalauskas         6.12                5                   
Galmantas           Baranauskas         7.18                6                   
Gasparas            zukauskas           5.54                5                   
Gasparas            zukauskas           7.04                5.5                 
Gasparas            Vasiliauskas        8.3                 5                   
Gasparas            Butkus              5.44                6.5                 
Gasparas            Jankauskas          6.26                5.5                 
Gasparas            Butkus              8.66                7                   
Gasparas            Kateiva             6.92                5                   
Gasparas            Stankevicius        5.94                6                   
Gasparas            Stankevicius        6.56                6                   
Gaudenis            Pocius              8.24                6                   
Gaudenis            Kateiva             5.16                5.5                 
Gaudenis            Butkus              7.22                6.5                 
Gaudenis            Kavaliauskas        8.46                7                   
Gaudenis            Urbonas             6.36                6                   
Gaudrimas           Petrauskas          8.18                5.5                 
Gaudrimas           Baranauskas         8.9                 8                   
Gaudrimas           Kazlaukas           7.92                6.5                 
Gaudrimas           Kateiva             7.86                5                   
Gaudrimas           Urbonas             8.6                 7                   
Gaudrimas           Stankevicius        7.08                5                   
Gaudrimas           Kazlaukas           8.26                5.5                 
Gaudrimas           Paulauskas          7.9                 7                   
Gaudvydas           Jankauskas          5.8                 5.5                 
Gaudvydas           Stankevicius        5.9                 6                   
Gaudvydas           Butkus              6.7                 6.5                 
Gaudvydas           Vasiliauskas        8.44                5                   
Gavrila             Stankevicius        6.04                6                   
Gavrilas            Jankauskas          6.68                6.5                 
Gavrilas            Paulauskas          5.14                5.5                 
Gavrilas            Kazlaukas           5.22                6                   
Gavrilas            Kateiva             6.56                6                   
Gavrilas            Urbonas             5.94                6.5                 
Gavrilas            Vasiliauskas        5.48                6                   
Gavrilas            Sakalauskas         5.62                5                   
Gavrilas            Petrauskas          8.08                6                   
Gavrilas            Baranauskas         8.38                5                   
Gedas               Jankauskas          5.56                6.5                 
Gedas               Pocius              7.22                7                   
Gedas               Urbonas             5.86                6                   
Gedas               zukauskas           5.98                6                   
Gedgaudas           Vasiliauskas        5.38                5.5                 
Gedgaudas           Butkus              5                   5                   
Gedgaudas           Kazlaukas           7.7                 6                   
Gedgaudas           Sakalauskas         6.48                6.5                 
Gedgaudas           Butkus              7.12                5.5                 
Gedgaudas           Butkus              7.38                6.5                 
Gedgaudas           Sakalauskas         5.56                7                   
Gedgaudas           Jankauskas          7                   6                   
Gediminas           Kateiva             5.5                 7                   
Gediminas           Petrauskas          5.98                6.5                 
Gediminas           Petrauskas          5.04                5.5                 
Gedmantas           Pocius              5.14                8                   
Gedmantas           Stankevicius        7.08                6                   
Gedmantas           Baranauskas         5.44                6                   
Gedmantas           Petrauskas          7.72                5                   
Gedmantas           Vasiliauskas        5.36                6                   
Gedmantas           Kateiva             5.24                6                   
Gedmas              Baranauskas         5.34                6                   
Gedmas              Urbonas             7.34                6.5                 
Gedmas              zukauskas           5.18                6                   
Gedmas              Vasiliauskas        8.22                5.5                 
Gedmas              Pocius              7.78                6                   
Gedmas              Stankevicius        6.82                5                   
Gedmas              Kateiva             6.3                 5                   
Gedminas            Butkus              7.6                 5.5                 
Gedminas            Paulauskas          7.82                6                   
Gedminas            Pocius              5.92                5.5                 
Gedminas            Urbonas             6.06                7.5                 
Gedminas            Urbonas             8.16                5                   
Gedminas            Kazlaukas           6.3                 5                   
Gedminas            Paulauskas          5.54                5.5                 
Gedvaldas           Stankevicius        8.3                 6                   
Gedvaldas           Urbonas             7.22                6                   
Gedvaldas           Paulauskas          7.14                5.5                 
Gedvaldas           Urbonas             6.34                5.5                 
Gedvaldas           Pocius              8.18                5.5                 
Gedvaldas           Baranauskas         5.26                8                   
Gedvaldas           Urbonas             6.58                5.5                 
Gedvaldas           Kavaliauskas        8.18                5                   
Gedvaldas           Pocius              5.96                6                   
Gedvilas            Baranauskas         5.6                 6                   
Gedvilas            Pocius              7.88                7.5                 
Gedvilas            Paulauskas          7.12                8                   
Gedvilas            zukauskas           5.34                7                   
Gedvilas            Petrauskas          8.28                6.5                 
Gedvilas            Butkus              7.22                8                   
Gedvilas            Sakalauskas         6.4                 6.5                 
Gedvilas            Baranauskas         8.16                6                   
Gedvilas            Sakalauskas         5.54                6                   
Gedvydas            Kazlaukas           6.18                7                   
Gedvydas            Baranauskas         7.06                6.5                 
Gedvydas            Sakalauskas         8.56                7.5                 
Gedvydas            Petrauskas          5.7                 5.5                 
Geivydas            Butkus              5.92                5.5                 
Geivydas            Petrauskas          5.62                5                   
Geivydas            Kateiva             5.22                5.5                 
Geivydas            Paulauskas          5.82                6.5                 
Geivydas            Kazlaukas           8.16                6                   
Geivydas            zukauskas           6.1                 6.5                 
Genadijus           Jankauskas          7.92                6.5                 
Genadijus           Petrauskas          6.96                8                   
Genadijus           Kavaliauskas        5.66                6                   
Genadijus           Baranauskas         5.78                5.5                 
Genadijus           Vasiliauskas        7.08                6                   
Genadijus           Vasiliauskas        6.48                5.5                 
Genadijus           Sakalauskas         7.8                 6                   
Gendrius            Paulauskas          6.4                 7.5                 
Gendrius            Pocius              5.24                6                   
Gendrius            Urbonas             7.52                5.5                 
Gendrius            Pocius              6.12                6                   
Gendrius            Vasiliauskas        7.5                 6                   
Genrichas           Jankauskas          5.24                6                   
Genrichas           Pocius              5.52                6.5                 
Genrichas           Jankauskas          8                   5                   
Genrichas           Baranauskas         6.96                8                   
Genrichas           Kateiva             7.72                6                   
Genrichas           Sakalauskas         6.68                6.5                 
Georgijus           Paulauskas          7.3                 6.5                 
Georgijus           Kazlaukas           6.02                6                   
Georgijus           Jankauskas          6.74                5                   
Georgijus           Pocius              8.04                5                   
Georgijus           Kazlaukas           6.38                5.5                 
Geraldas            Kazlaukas           5.06                6.5                 
Geraldas            Urbonas             6.62                6.5                 
Geraldas            Vasiliauskas        6.14                6                   
Geraldas            Sakalauskas         8.1                 5                   
Geraldas            Sakalauskas         7.16                7                   
Geraldas            Jankauskas          8.38                6.5                 
Geraldas            Kateiva             8.3                 6                   
Gerardas            Kavaliauskas        6.76                6.5                 
Gerardas            Paulauskas          8.24                6                   
Gerardas            Pocius              7.48                6                   
Gerardas            zukauskas           5.64                8                   
Gerardas            Vasiliauskas        6.04                6                   
Gerardas            Kateiva             6.3                 5                   
Gerardas            Kateiva             8.32                6                   
Gerdas              Paulauskas          5.76                6                   
Gerdas              Kazlaukas           8                   5                   
Gerdas              Stankevicius        5.34                5.5                 
Gerdas              Sakalauskas         8.48                7                   
Gerdas              Kateiva             5.24                5                   
Gerimantas          Sakalauskas         5.98                6                   
Gerimantas          Sakalauskas         6.08                7.5                 
Gerimantas          Stankevicius        8.52                7                   
Gerimantas          Butkus              7.72                5.5                 
Gerimantas          Paulauskas          5.04                7                   
Gerimantas          Kavaliauskas        8.2                 6                   
Gerimantas          Kateiva             6.84                5                   
Gerimantas          Urbonas             7.86                6                   
Gerimantas          Stankevicius        5.76                6                   
Gerimantas          Baranauskas         6.64                6                   
Gerimantas          Kavaliauskas        8.06                7.5                 
Gerimantas          Sakalauskas         6.78                5                   
Germanas            Urbonas             7                   5                   
Germanas            Baranauskas         5.04                5.5                 
Germanas            Baranauskas         7.8                 7                   
Germanas            Stankevicius        5.16                5.5                 
Germanas            zukauskas           6.54                5                   
Germanas            Stankevicius        6.66                6                   
Germanas            Petrauskas          6.88                7                   
Germanas            Urbonas             6.56                6.5                 
Germantas           Vasiliauskas        7.22                7                   
Germantas           Stankevicius        5.66                8                   
Gerutis             Kateiva             5.68                5                   
Gerutis             Kateiva             6.84                5                   
Gerutis             Butkus              6.4                 5                   
Gerutis             Kazlaukas           6.66                7                   
Gerutis             zukauskas           6.34                6                   
Gervydas            Stankevicius        8.72                7.5                 
Gervydas            Vasiliauskas        5.14                5.5                 
Gervydas            Kateiva             5.7                 5                   
Gervydas            Jankauskas          5.96                6                   
Giedrius            Petrauskas          5                   7                   
Giedrius            Stankevicius        5                   7                   
Giedrius            Vasiliauskas        5.22                5.5                 
Giedrius            Kazlaukas           7.46                6.5                 
Giedrius            Kavaliauskas        8.24                6                   
Gilbertas           Kavaliauskas        6.76                7                   
Gilbertas           zukauskas           5.12                5                   
Gilbertas           Vasiliauskas        5.56                5                   
Gilbertas           zukauskas           8.66                7.5                 
Gilbertas           Kavaliauskas        7.42                7.5                 
Gilbertas           Kavaliauskas        7.5                 6                   
Gilbertas           Vasiliauskas        7.02                5                   
Gintaras            Jankauskas          7.22                6                   
Gintaras            Butkus              5.84                6                   
Gintas              Butkus              7.32                5                   
Gintas              Paulauskas          7.5                 5.5                 
Gintas              Stankevicius        6.54                7                   
Gintas              Paulauskas          7.48                5.5                 
Gintautas           Petrauskas          6.7                 6.5                 
Gintautas           Pocius              8.24                5.5                 
Gintautas           Petrauskas          5.4                 6.5                 
Gintautas           Kavaliauskas        5.8                 6.5                 
Gintis              Kavaliauskas        6.32                6                   
Gintis              Kavaliauskas        7.98                7                   
Gintis              Kazlaukas           7.62                5                   
Gintis              Kazlaukas           5.68                5                   
Gintis              Kazlaukas           6.42                5                   
Gintis              Stankevicius        7.82                6                   
Gintis              Kateiva             8.18                6                   
Gintis              Kateiva             8.2                 6                   
Gintis              Baranauskas         5.58                5                   
Gintis              Petrauskas          6.54                6                   
Girenas             Kateiva             5.24                5                   
Girenas             Vasiliauskas        6.34                5.5                 
Girenas             Urbonas             5.22                6                   
Girenas             Jankauskas          5.66                5.5                 
Girenas             Kateiva             5.7                 5                   
Girius              Baranauskas         6.12                7                   
