Vardas              Pavarde             Vid.                Med.                
Genadijus           zukauskas           4.68                6                   
Genadijus           Paulauskas          4.7                 5.5                 
Genadijus           Baranauskas         2.7                 5                   
Genadijus           Jankauskas          3.56                6.5                 
Genadijus           zukauskas           5.14                4.5                 
Gendrius            Baranauskas         4.48                5                   
Gendrius            Kavaliauskas        4.6                 6                   
Gendrius            Baranauskas         3.5                 5                   
Gendrius            Petrauskas          7.38                4                   
Genrichas           Pocius              3.5                 5                   
Genrichas           Petrauskas          3.78                7                   
Genrichas           Urbonas             3                   5                   
Genrichas           Baranauskas         4.18                6                   
Genrichas           Kavaliauskas        2.86                5.5                 
Genrichas           zukauskas           3.22                5                   
Genrichas           Sakalauskas         4.62                6                   
Genrichas           Kateiva             3.14                7                   
Genrichas           Butkus              2.46                4                   
Genrichas           Kavaliauskas        5.38                4                   
Georgijus           Kateiva             3.82                7.5                 
Georgijus           Urbonas             3.26                7                   
Georgijus           Kazlaukas           4.8                 6                   
Georgijus           Pocius              3.62                5                   
Georgijus           Kazlaukas           7.22                4                   
Georgijus           Kazlaukas           3.16                4                   
Georgijus           zukauskas           2.64                4.5                 
Georgijus           Sakalauskas         3.98                5                   
Georgijus           Kavaliauskas        5.06                4.5                 
Georgijus           Petrauskas          3.58                8.5                 
Geraldas            Kateiva             4.1                 5                   
Geraldas            Kateiva             4.68                5                   
Geraldas            Baranauskas         5.54                4                   
Geraldas            Kavaliauskas        6.64                4                   
Geraldas            zukauskas           3.38                5                   
Geraldas            Kavaliauskas        4.74                4                   
Geraldas            Kavaliauskas        4.28                4                   
Geraldas            Urbonas             7.76                3.5                 
Geraldas            Butkus              3.58                6.5                 
Geraldas            Jankauskas          4.48                5                   
Gerardas            Sakalauskas         2.94                6                   
Gerardas            Pocius              8.16                4.5                 
Gerardas            Kazlaukas           2.76                5                   
Gerardas            Jankauskas          4.52                5.5                 
Gerardas            Baranauskas         2.6                 4.5                 
Gerdas              Pocius              7.62                4                   
Gerdas              Paulauskas          4.6                 5                   
Gerdas              Urbonas             4.32                7                   
Gerdas              Pocius              3.98                5                   
Gerdas              Urbonas             8.02                4.5                 
Gerdas              Vasiliauskas        3.32                5                   
Gerimantas          Butkus              6.46                4.5                 
Gerimantas          Urbonas             4.26                3.5                 
Gerimantas          Petrauskas          4.24                4                   
Gerimantas          Vasiliauskas        7.28                4.5                 
Gerimantas          Petrauskas          2.68                5                   
Gerimantas          Baranauskas         3.22                7                   
Gerimantas          Paulauskas          3.04                6                   
Germanas            Paulauskas          6.14                4.5                 
Germanas            Kateiva             6.2                 4.5                 
Germanas            Butkus              5.46                4                   
Germanas            Paulauskas          6.32                4                   
Germanas            Urbonas             4.38                4                   
Germanas            Petrauskas          5.34                4                   
Germanas            Pocius              2.52                5                   
Germantas           Kateiva             4.56                6.5                 
Germantas           Paulauskas          4.52                8                   
Germantas           Stankevicius        4.02                3.5                 
Germantas           Kavaliauskas        3.06                3.5                 
Germantas           Jankauskas          2.8                 5.5                 
Germantas           Butkus              4.98                6.5                 
Germantas           Vasiliauskas        4.82                6                   
Germantas           Kateiva             4.86                6.5                 
Gerutis             Vasiliauskas        7.08                4                   
Gerutis             Kateiva             3.66                5.5                 
Gerutis             Baranauskas         7.3                 4.5                 
Gerutis             Kazlaukas           3.24                4.5                 
Gerutis             Urbonas             4.38                7                   
Gerutis             Kateiva             2.36                3.5                 
Gervydas            Sakalauskas         4.24                4.5                 
Gervydas            Kavaliauskas        3.8                 5                   
Gervydas            Butkus              2.52                4                   
Gervydas            Baranauskas         4.2                 6.5                 
Gervydas            Urbonas             3.4                 5.5                 
Gervydas            Vasiliauskas        5.88                4                   
Gervydas            Sakalauskas         4.4                 6                   
Gervydas            Baranauskas         3.42                4.5                 
Giedrius            Sakalauskas         3.44                6.5                 
Giedrius            Butkus              6.66                4                   
Giedrius            Sakalauskas         3.4                 6                   
Giedrius            Sakalauskas         3.4                 5                   
Giedrius            Baranauskas         3.96                8                   
Giedrius            Baranauskas         4.92                4                   
Giedrius            Petrauskas          3.22                4                   
Giedrius            Stankevicius        6.7                 4.5                 
Gilbertas           Pocius              4.74                6.5                 
Gilbertas           Baranauskas         6.68                4                   
Gilbertas           Baranauskas         4.96                7                   
Gilbertas           Kazlaukas           7.98                4.5                 
Gilbertas           Baranauskas         4.04                6.5                 
Gilbertas           Paulauskas          2.76                6                   
Gilbertas           zukauskas           7.28                4.5                 
Gintaras            Kateiva             4.96                3.5                 
Gintaras            Vasiliauskas        6.82                4.5                 
Gintaras            Butkus              4.68                5.5                 
Gintaras            Butkus              4.04                5.5                 
Gintaras            Paulauskas          3.38                7                   
Gintaras            Urbonas             2.92                5.5                 
Gintas              Stankevicius        3.38                5.5                 
Gintas              Vasiliauskas        4.34                6                   
Gintas              Sakalauskas         3.18                5.5                 
Gintas              Kateiva             7.82                4                   
Gintas              Kavaliauskas        3.8                 7                   
Gintautas           Kateiva             3.68                7.5                 
Gintautas           Paulauskas          3.36                4                   
Gintautas           Petrauskas          5.98                3.5                 
Gintautas           Sakalauskas         3.7                 7                   
Gintautas           Butkus              5.62                3.5                 
Gintautas           Vasiliauskas        5.48                4                   
Gintautas           Kateiva             8.14                4.5                 
Gintautas           Butkus              2.56                5                   
Gintautas           Kavaliauskas        2.68                5                   
Gintis              Vasiliauskas        4.48                5.5                 
Gintis              zukauskas           4.38                5                   
Gintis              Paulauskas          4.84                6                   
Gintis              Pocius              6.68                4.5                 
Girenas             Baranauskas         3.02                6                   
Girenas             Kavaliauskas        5.16                3                   
Girenas             zukauskas           3.92                5.5                 
Girenas             Stankevicius        6.16                4.5                 
Girenas             Butkus              4.48                5                   
Girenas             Sakalauskas         4.88                4                   
Girenas             Baranauskas         4.64                7                   
Girenas             Vasiliauskas        8.26                4.5                 
Girenas             zukauskas           4.08                4                   
Girenas             Baranauskas         7.1                 4.5                 
Girius              Butkus              6.12                4                   
Girius              Butkus              2.88                6                   
Girius              zukauskas           4.58                5                   
Girius              Pocius              7.24                4                   
Girius              zukauskas           4.58                5                   
Girius              Petrauskas          4.1                 6                   
Girius              Kazlaukas           7.76                3.5                 
Girmantas           Kazlaukas           6.5                 3.5                 
Girmantas           Kazlaukas           2.9                 3.5                 
Girmantas           zukauskas           2.28                4                   
Girmantas           Pocius              4.48                6                   
Girvydas            Butkus              2.76                5.5                 
Girvydas            Baranauskas         3.96                6                   
Girvydas            Stankevicius        3.94                6                   
Girvydas            Sakalauskas         7.38                4                   
Girvydas            Petrauskas          7.2                 4.5                 
Gitanas             zukauskas           3.6                 6.5                 
Gitanas             Sakalauskas         3.82                5                   
Gitanas             Sakalauskas         4.12                7                   
Gitanas             Kateiva             4.34                4.5                 
Gitanas             Pocius              6.6                 4                   
Gitanas             Butkus              4.12                4.5                 
Gitanas             Kavaliauskas        4.04                5.5                 
Gitanas             Sakalauskas         4.78                4                   
Gitanas             Vasiliauskas        5.48                4                   
Gitanas             Paulauskas          3.22                5                   
Gordejus            zukauskas           2.66                4.5                 
Gordejus            Kateiva             4.1                 6                   
Gordejus            Stankevicius        4.74                6                   
Gordejus            Kazlaukas           4.04                5                   
Gordejus            Vasiliauskas        2.66                4.5                 
Gordejus            Stankevicius        7.42                4.5                 
Gotfridas           Kateiva             3.16                7                   
Gotfridas           Kazlaukas           3.3                 6                   
Gotfridas           Vasiliauskas        3.48                6                   
Gotfridas           Pocius              6.78                4.5                 
Gotfridas           Petrauskas          7.62                4                   
Gracijonas          Stankevicius        2.72                5.5                 
Gracijonas          Sakalauskas         4.46                5.5                 
Gracijonas          Vasiliauskas        3.64                4                   
Gracijonas          zukauskas           5.5                 4.5                 
Gracijonas          Vasiliauskas        5.5                 4.5                 
Gracijonas          Butkus              7.92                4                   
Gracijonas          Butkus              4.02                7                   
Gracijonas          Kateiva             7.24                4                   
Gracijonas          Butkus              2.52                5                   
Gracijonas          Stankevicius        6.44                4.5                 
Gracijus            Baranauskas         3.4                 5                   
Gracijus            Urbonas             6.72                4.5                 
Gracijus            Paulauskas          6.38                4.5                 
Gracijus            Kavaliauskas        3.76                8                   
Grazvydas           zukauskas           2.64                5                   
Grazvydas           Petrauskas          4.44                5.5                 
Grazvydas           Sakalauskas         3.78                6.5                 
Grazvydas           Urbonas             3.52                5.5                 
Grazvydas           Pocius              4.66                4                   
Grazvydas           Kateiva             2.94                6.5                 
Grazvydas           Jankauskas          3.16                5                   
Grazvydas           Kazlaukas           3.46                6                   
Grigalius           Pocius              2.98                4                   
Grigalius           Baranauskas         3.02                6                   
Grigalius           Kavaliauskas        3.54                6                   
Grigalius           Kazlaukas           3.12                5                   
Grigas              Baranauskas         6.26                4.5                 
Grigas              Paulauskas          3.9                 5                   
Grigas              Paulauskas          7.26                4                   
Grigas              Butkus              3.14                7                   
Grigas              Baranauskas         2.58                5.5                 
Grigorijus          Jankauskas          3                   6                   
Grigorijus          Baranauskas         2.64                4                   
Grigorijus          Vasiliauskas        6.78                4.5                 
Grigorijus          Stankevicius        4.8                 4                   
Grigorijus          Baranauskas         4.28                7                   
Gunaras             Sakalauskas         3.48                6                   
Gunaras             Kateiva             4.24                3.5                 
Gunaras             Stankevicius        3.96                5.5                 
Gunaras             Sakalauskas         7.22                4                   
Gunaras             zukauskas           2.76                5.5                 
Gunaras             Kateiva             6.12                4.5                 
Gunaras             Jankauskas          2.92                4.5                 
Gunaras             Vasiliauskas        3.34                6                   
Gunaras             Kazlaukas           2.94                6                   
Gunaras             Paulauskas          3.24                5.5                 
Gustas              Jankauskas          3.74                7                   
Gustas              Butkus              3.42                5.5                 
Gustas              Paulauskas          3.34                5                   
Gustas              Petrauskas          4.1                 6                   
Gustas              Sakalauskas         3.92                6                   
Gustas              Vasiliauskas        4.92                3.5                 
Gustas              Kateiva             2.74                5.5                 
Gustavas            Vasiliauskas        4.44                5                   
Gustavas            Urbonas             3.58                3.5                 
Gustavas            Butkus              6.8                 4                   
Gustavas            Urbonas             2.62                5                   
Gustis              Kateiva             7.26                4                   
Gustis              Paulauskas          3.02                6                   
Gustis              Kavaliauskas        3.08                6                   
Gvidas              Baranauskas         4.64                7                   
Gvidas              zukauskas           3.72                3.5                 
Gvidas              Sakalauskas         3.8                 5                   
Gvidas              Kavaliauskas        3.04                6                   
Gvidas              Kateiva             4.84                4                   
Gvidas              Vasiliauskas        2.96                6                   
Gvidas              Petrauskas          5.86                4                   
Gvidonas            Pocius              4.88                6                   
Gvidonas            Kazlaukas           2.58                4.5                 
Gvidonas            Paulauskas          2.66                5                   
Gvidonas            Stankevicius        3.46                5                   
Gvidonas            Baranauskas         5.56                4                   
Gvidonas            Jankauskas          3.86                7                   
Gvidonas            Stankevicius        3.62                4                   
Gvidonas            Sakalauskas         3.5                 5.5                 
Gvidonas            Sakalauskas         3.88                5                   
Gvidonas            Kazlaukas           3.64                7                   
Gytautas            Pocius              5.48                4                   
Gytautas            Sakalauskas         3.92                5.5                 
Gytautas            Urbonas             4.52                5                   
Gytautas            Butkus              2.96                5.5                 
Gytautas            Stankevicius        4.06                5                   
Gytautas            zukauskas           4.78                5.5                 
Gytautas            Stankevicius        4.04                6                   
Gytautas            Stankevicius        7.2                 3                   
Gytis               Kazlaukas           6.5                 3.5                 
Gytis               Vasiliauskas        2.64                4.5                 
Gytis               Baranauskas         4.3                 5                   
Gytis               Petrauskas          3.06                7                   
Gytis               Petrauskas          2.98                4                   
Gytis               Butkus              6.02                4                   
Gytis               Butkus              3.82                4                   
Gytis               Petrauskas          2.38                3.5                 
Haraldas            Baranauskas         4.98                4                   
Haraldas            Baranauskas         3.08                7                   
Haraldas            Pocius              3.66                5.5                 
Haraldas            Kazlaukas           4.36                7                   
Haraldas            Paulauskas          6.78                3.5                 
Haris               Sakalauskas         3.64                5.5                 
Haris               Kavaliauskas        3.72                6.5                 
Haris               Kazlaukas           3.1                 7.5                 
Haris               Pocius              2.58                4.5                 
Haris               Kazlaukas           3.42                6.5                 
Haris               zukauskas           4.06                5                   
Haris               Paulauskas          7.22                4                   
Haris               Kavaliauskas        3.6                 4                   
Haris               Vasiliauskas        4.8                 6                   
Haris               Stankevicius        5.42                4                   
Haris               Kateiva             4.24                6.5                 
Haris               Butkus              2.98                6.5                 
Haroldas            Kateiva             2.68                5.5                 
Haroldas            Pocius              4.66                5.5                 
Haroldas            Pocius              6.08                4                   
Haroldas            zukauskas           2.36                4                   
Haroldas            Urbonas             5.62                4.5                 
Haroldas            Paulauskas          2.32                4                   
Hektoras            Sakalauskas         4.96                7                   
Hektoras            Stankevicius        6.4                 4                   
Hektoras            Vasiliauskas        3.8                 5                   
Hektoras            Paulauskas          4.78                5.5                 
Hektoras            Butkus              3.3                 7                   
Hektoras            Pocius              2.92                6.5                 
Helmutas            Stankevicius        8.04                4                   
Helmutas            zukauskas           3.1                 6.5                 
Helmutas            Butkus              4.64                3.5                 
Helmutas            Urbonas             3.92                5.5                 
Helmutas            Urbonas             2.82                6                   
Henrikas            Paulauskas          3.58                4                   
Henrikas            Vasiliauskas        3.22                4.5                 
Henrikas            Paulauskas          3.34                6.5                 
Henrikas            zukauskas           4.62                6                   
Henrikas            Kateiva             3                   6                   
Henrikas            zukauskas           4.72                6                   
Henrikas            Stankevicius        4.78                6                   
Henrikas            Butkus              3.52                6                   
Henrikas            zukauskas           4.7                 6                   
Henrikas            Paulauskas          4.36                5.5                 
Henris              Vasiliauskas        5                   4                   
Henris              Vasiliauskas        3.08                7.5                 
Henris              zukauskas           6.12                4                   
Henris              Sakalauskas         3.88                6                   
Henris              Kazlaukas           4.1                 6                   
Henris              Jankauskas          3.72                4                   
Herbertas           Pocius              5.22                3.5                 
Herbertas           Kateiva             4.7                 7                   
Herbertas           Butkus              4.08                5                   
Herbertas           Pocius              7.42                4.5                 
Herbertas           Kavaliauskas        3.98                5.5                 
Herbertas           Jankauskas          3.1                 4                   
Herkus              Kavaliauskas        4.4                 3.5                 
Herkus              Jankauskas          4.78                7                   
Herkus              Kateiva             7.64                4.5                 
Hermanas            Pocius              4.18                6                   
Hermanas            Urbonas             2.56                4.5                 
Hermanas            Kazlaukas           3.7                 6.5                 
Hermanas            Kazlaukas           3.18                4                   
Hermanas            Butkus              2.8                 5.5                 
Hilarijus           Sakalauskas         3.32                6.5                 
Hilarijus           Pocius              3.56                5.5                 
Hilarijus           Stankevicius        3.34                5                   
Hilarijus           Petrauskas          4.62                6.5                 
Hilarijus           Sakalauskas         4.4                 7                   
Hilarijus           Urbonas             4.66                6.5                 
Horacijus           Kateiva             2.8                 3                   
Horacijus           Kazlaukas           3.4                 8                   
Horacijus           Sakalauskas         2.9                 6                   
Horacijus           Kazlaukas           6.22                4                   
Horacijus           Kateiva             5.6                 4.5                 
Horacijus           Petrauskas          3.5                 7                   
Horacijus           Baranauskas         3.74                4                   
Horacijus           Paulauskas          2.4                 3.5                 
Horstas             Kazlaukas           3.1                 7.5                 
Horstas             Stankevicius        2.64                5.5                 
Hubertas            Kavaliauskas        4.1                 6.5                 
Hubertas            Paulauskas          7.28                4.5                 
Hubertas            Vasiliauskas        6.26                4.5                 
Hubertas            Petrauskas          5.4                 4                   
Hubertas            Baranauskas         8.08                4.5                 
Hubertas            Paulauskas          4.66                6                   
Hubertas            Pocius              3.92                5.5                 
Hubertas            Kazlaukas           5.52                4                   
Ignacas             Jankauskas          4.2                 6.5                 
Ignacas             Stankevicius        6.48                4.5                 
Ignacas             Stankevicius        2.66                5                   
Ignas               Jankauskas          3.92                5.5                 
Ignas               Baranauskas         3.5                 6                   
Ignas               zukauskas           4.8                 7                   
Ignas               Sakalauskas         2.36                3.5                 
Ignas               Baranauskas         4.54                3                   
Ignas               Jankauskas          4.66                4.5                 
Ignas               Sakalauskas         6.1                 4                   
Ignotas             Paulauskas          2.64                4.5                 
Ignotas             Kazlaukas           3.38                5.5                 
Ignotas             Butkus              4.48                5                   
Ignotas             Petrauskas          4.04                5                   
Ignotas             Petrauskas          6.72                4.5                 
Ignotas             Stankevicius        3.28                5                   
Igoris              Kateiva             4.82                6                   
Igoris              Sakalauskas         2.74                5                   
Igoris              Baranauskas         2.7                 6                   
Igoris              Butkus              4.8                 5.5                 
Igoris              Baranauskas         2.44                5                   
Igoris              Petrauskas          3.2                 7                   
Igoris              Kateiva             4.24                4                   
Igoris              Sakalauskas         4.64                6                   
Ilja                Urbonas             6.54                3.5                 
Ilja                Kateiva             2.96                6.5                 
Ilja                Petrauskas          3.28                5                   
Ilja                Kazlaukas           4.7                 5.5                 
Ilja                Baranauskas         3.06                5                   
Ilja                zukauskas           3.3                 5                   
Ilja                Petrauskas          4.64                5                   
Ilja                zukauskas           4.12                6                   
Ilja                Kazlaukas           5.4                 4                   
Ilja                Stankevicius        2.94                7                   
Imantas             Butkus              4.64                6.5                 
Imantas             Jankauskas          7.12                3                   
Imantas             zukauskas           3.56                5.5                 
Imantas             Urbonas             2.92                4                   
Imantas             Butkus              3.56                6.5                 
Indrius             Urbonas             5.56                4                   
Indrius             Vasiliauskas        4.12                6.5                 
Indrius             Kavaliauskas        6.72                4                   
Indrius             Paulauskas          5.46                4.5                 
Indrius             Jankauskas          2.8                 5.5                 
Indrius             Stankevicius        3.92                4.5                 
Indrius             Sakalauskas         6.1                 4                   
Indrius             Vasiliauskas        3.44                5                   
Indrius             Kateiva             3.04                4.5                 
Ingvaras            Vasiliauskas        2.94                6.5                 
Ingvaras            Petrauskas          8.18                4.5                 
Ingvaras            Kazlaukas           3.98                6                   
Ingvaras            zukauskas           4.98                4                   
Ingvaras            Pocius              2.8                 6                   
Inocentas           Urbonas             2.78                5.5                 
Inocentas           Stankevicius        4.94                4                   
Inocentas           Baranauskas         3.26                7                   
Inocentas           Jankauskas          6.06                4                   
Inocentas           zukauskas           3.84                4                   
Ipolitas            zukauskas           7.32                3.5                 
Ipolitas            Pocius              2.68                5.5                 
Ipolitas            Pocius              4.04                5.5                 
Ipolitas            Jankauskas          2.72                5                   
Ipolitas            Urbonas             4.06                6                   
Irenijus            Kateiva             3.14                5                   
Irenijus            Urbonas             2.96                6.5                 
Irenijus            Kateiva             3.68                6                   
Irenijus            Vasiliauskas        3.8                 5                   
Irenijus            Vasiliauskas        7.52                4.5                 
Irenijus            Petrauskas          3.56                5.5                 
Irenijus            zukauskas           4.64                5                   
Irmantas            Stankevicius        6.44                4.5                 
Irmantas            Stankevicius        7.8                 4.5                 
Irmantas            Urbonas             7.72                3                   
Irmantas            Kateiva             7.3                 4.5                 
Irmantas            Petrauskas          4.64                5                   
Irmantas            Kazlaukas           3.04                7                   
Irmantas            Jankauskas          6.18                4.5                 
Irtautas            zukauskas           6.16                4                   
Irtautas            Butkus              2.44                5                   
Irtautas            Butkus              2.82                5                   
Irtautas            Jankauskas          7.6                 4                   
Irvydas             Vasiliauskas        4.06                6                   
Irvydas             Baranauskas         4.38                5                   
Irvydas             Urbonas             5.6                 4                   
Irvydas             Baranauskas         4.26                6                   
Irvydas             Pocius              6.78                4.5                 
Irvydas             zukauskas           4.46                5                   
Irvydas             Butkus              4.1                 6.5                 
Isaakas             Paulauskas          4.22                6.5                 
Isaakas             Petrauskas          4.24                6.5                 
Isaakas             zukauskas           3.28                4.5                 
Isakas              Pocius              4.44                5                   
Isakas              Butkus              4.12                5                   
Isakas              Kateiva             4.26                6.5                 
Isakas              Stankevicius        4.28                6                   
Isakas              Urbonas             4.3                 6.5                 
Isakas              Butkus              4.7                 5.5                 
Isakas              Stankevicius        4.98                5                   
Isakas              Vasiliauskas        4.88                4                   
Isakas              Baranauskas         2.72                5.5                 
Isakas              Urbonas             2.58                5                   
Ivanas              Vasiliauskas        3.82                5.5                 
Ivanas              Sakalauskas         7.24                4                   
Ivanas              Kavaliauskas        4.76                6                   
Ivanas              Sakalauskas         3.78                4.5                 
Ivanas              Kavaliauskas        2.66                5                   
Ivanas              Vasiliauskas        4.26                7                   
Izidorius           Petrauskas          4.88                7                   
Izidorius           Kateiva             8.1                 4.5                 
Izidorius           Vasiliauskas        4.24                6.5                 
Izidorius           Petrauskas          3.68                6.5                 
Izidorius           Butkus              4.82                5                   
Izidorius           Sakalauskas         2.74                6.5                 
Izidorius           Stankevicius        3.46                5.5                 
Izidorius           Sakalauskas         4.18                6.5                 
Izidorius           Vasiliauskas        2.76                5.5                 
Izidorius           Urbonas             2.92                5                   
Izoldas             Butkus              2.54                4                   
Izoldas             Jankauskas          7.94                4                   
Izoldas             Petrauskas          3.56                4.5                 
Izoldas             Kateiva             3.36                5                   
Jacekas             zukauskas           4.58                5.5                 
Jacekas             Petrauskas          3.46                7                   
Jacekas             Paulauskas          4.2                 6                   
Jacekas             Kateiva             6.24                4.5                 
Jacekas             Kateiva             7.94                4                   
Jacekas             Kavaliauskas        2.22                3.5                 
Jacekas             Kazlaukas           3.66                5.5                 
Jacekas             Kazlaukas           3.48                3.5                 
Jacekas             Vasiliauskas        5.42                4                   
Jacekas             Petrauskas          7.68                4                   
Jacekas             Vasiliauskas        4.44                5                   
Jakovas             Kavaliauskas        5.02                4.5                 
Jakovas             Paulauskas          2.78                6                   
Jakovas             Kateiva             3.4                 6                   
Jakubas             Urbonas             4.26                7                   
Jakubas             Vasiliauskas        3.7                 6                   
Jakubas             zukauskas           4.44                7                   
Jakubas             Kateiva             4.64                5                   
Jakubas             Kavaliauskas        3.62                6                   
Jakubas             Jankauskas          3.88                5.5                 
Jakubas             Kavaliauskas        7.32                4                   
Jakubas             zukauskas           3.26                7.5                 
Jakubas             Urbonas             4.16                6                   
Jakubas             Vasiliauskas        4.54                8.5                 
Jakubas             Vasiliauskas        3.16                6.5                 
Jakubas             Kavaliauskas        4.44                7                   
Jakubas             Urbonas             6.86                3.5                 
Jakubas             Butkus              4.9                 4                   
Jakubas             Vasiliauskas        2.74                5                   
Jakubas             Petrauskas          3.54                6                   
Jakubas             Petrauskas          3.28                5                   
Janas               Sakalauskas         2.96                6                   
Janas               Baranauskas         2.28                4                   
Janas               Kavaliauskas        4.38                7                   
Janas               Kavaliauskas        4.9                 6.5                 
Janas               Vasiliauskas        4.36                3.5                 
Janas               Baranauskas         4.98                6                   
Janis               Butkus              5.66                4.5                 
Janis               Vasiliauskas        4.5                 5                   
Janis               Sakalauskas         4.14                3.5                 
Janis               Baranauskas         4.28                5                   
Jankelis            Sakalauskas         7.38                4.5                 
Jankelis            Kateiva             4.68                6.5                 
Jankelis            zukauskas           4.84                4                   
Jankelis            Jankauskas          2.14                3                   
Jankelis            Urbonas             6.84                4.5                 
Jankelis            zukauskas           4.32                3.5                 
Jankelis            Baranauskas         3.76                4                   
Jankelis            Paulauskas          4.26                4                   
Janusas             Kavaliauskas        3.9                 5                   
Janusas             Jankauskas          7.04                4.5                 
Janusas             Kazlaukas           2.82                5                   
Janusas             Petrauskas          3.32                5                   
Janusas             Jankauskas          6.54                4                   
Janusas             Butkus              3.04                5.5                 
Janusas             Sakalauskas         4.24                4                   
Jaroslavas          Jankauskas          4.54                6                   
Jaroslavas          Sakalauskas         3.66                6                   
Jaroslavas          Kavaliauskas        8.14                4.5                 
Jaroslavas          Stankevicius        4.8                 6                   
Jaroslavas          Paulauskas          5.34                4                   
Jaunius             Kazlaukas           5.04                4.5                 
Jaunius             Kavaliauskas        5                   4                   
Jaunius             Kavaliauskas        2.32                3.5                 
Jaunius             Kateiva             4.24                6.5                 
Jaunius             Kateiva             4.22                5                   
Jaunius             Kazlaukas           4.02                5                   
Jaunius             Vasiliauskas        2.94                5.5                 
Jaunius             Kavaliauskas        7.84                4                   
Jaunius             Baranauskas         2.76                4                   
Jaunius             Baranauskas         3.08                7                   
Jaunutis            Jankauskas          4.02                6                   
Jaunutis            Urbonas             4.4                 7                   
Jaunutis            Sakalauskas         5.58                4                   
Jaunutis            Vasiliauskas        3.98                5.5                 
Jaunutis            Kateiva             3.6                 4                   
Jaunutis            Jankauskas          3.06                3.5                 
Jaunutis            Stankevicius        4.24                6                   
Jegoras             Baranauskas         6.4                 3                   
Jegoras             zukauskas           2.92                3.5                 
Jegoras             Jankauskas          2.96                5                   
Jemeljanas          Butkus              8.08                4                   
